SEQ_NBR,SEQ_SCHD_START_DT,FLEET,BASE,DIVISION,SPOILAGE,TOTAL_BLOCKED_HRS,TOTAL_SPOILED_HRS,SEQ_CAL_DAYS,SEQ_DUTY_DAYS,SEQ_TTL_FLTTIME,MIN_FLYTIME_PER_LEG,MAX_LEGS_PER_DAY,SEQ_TTL_LEGS,MORETHAN2_321_LEGS,IN_SEQ_DHD,LAYOVER,SEQ_PATTERN,SEQ_START,FLIGHT_PATTERN,SEQ_START_HRS,SF_LOAD_TMS
18647,2025-04-24,737,DFW   ,I ,NOT SPOILED,,,3,3,15,122,2,5,0,0,17,DFW-DCA-TPA-PHX-SJC-DFW,Starts14:55,1269-544-1402-1537-2834,14,2025-11-06 21:57:37.430
19922,2024-07-30,737,DFW   ,I ,NOT SPOILED,5.5,,1,1,5,160,2,2,0,0,1,DFW-MEX-DFW,Starts14:35,2350-2351,14,2025-11-06 21:57:37.430
20033,2025-05-08,737,LGA   ,I ,FULLY SPOILED,,6.08,1,1,6,176,2,2,0,0,3,LGA-MIA-LGA,Starts10:40,1937-2669,10,2025-11-06 21:57:37.430
18674,2025-07-12,737,DFW   ,I ,PARTIALLY SPOILED,,12.82,3,3,16,75,3,6,0,0,19,DFW-TQO-DFW-AUS-PHX-RDU-DFW,Starts12:20,163-163-972-2042-2332-1217,12,2025-11-06 21:57:37.430
8518,2025-04-27,320,MIA   ,I ,NOT SPOILED,,,2,2,11,67,3,5,0,0,17,MIA-PHL-TPA-MIA-MID-MIA,Starts7:1,1381-809-1744-2132-2132,7,2025-11-06 21:57:37.430
10662,2024-08-11,320,PHX   ,I ,FULLY SPOILED,10.23,10.23,2,2,10,105,2,3,0,0,18,PHX-CLT-MCO-PHX,Starts9:34,567-1879-984,9,2025-11-06 21:57:37.430
27508,2024-08-23,737,LGA   ,D ,NOT SPOILED,15.25,,3,3,15,84,2,6,0,0,17,LGA-MIA-RDU-PHL-JAX-DFW-LGA,Starts17:0,1356-1286-1859-1435-2465-188,17,2025-11-06 21:57:37.430
19464,2025-04-18,737,DFW   ,I ,NOT SPOILED,,,1,1,6,193,2,2,0,0,0,DFW-RNO-DFW,Starts12:19,324-324,12,2025-11-06 21:57:37.430
18286,2024-03-10,320,LGA   ,D ,FULLY SPOILED,16.62,16.62,3,3,16,71,4,9,0,1,17,LGA-DCA-BDL-DCA-ECP-DFW-AUS-PHL-BOS-LGA,Starts8:0,2594-760-760-275-1090-2113-2774-1416-2942,8,2025-11-06 21:57:37.430
7920,2025-04-10,320,LAX   ,I ,NOT SPOILED,,,2,2,11,336,1,2,0,0,17,LAX-HNL-LAX,Starts9:15,31-164,9,2025-11-06 21:57:37.430
18328,2024-08-17,737,CLT   ,I ,PARTIALLY SPOILED,15.63,7.9,3,3,15,86,3,8,0,0,15,CLT-BWI-CLT-CMH-ORD-PHL-RSW-PHL-CLT,Starts16:42,939-939-827-1193-1941-487-487-1160,16,2025-11-06 21:57:37.430
5941,2024-10-16,320,DFW   ,I ,NOT SPOILED,,,1,1,7,213,2,2,0,0,0,DFW-STS-DFW,Starts9:58,2391-2391,9,2025-11-06 21:57:37.430
17967,2024-09-26,737,CLT   ,I ,NOT SPOILED,10.25,,2,2,10,116,3,4,0,0,21,CLT-MBJ-CLT-STL-CLT,Starts9:29,875-875-2937-2477,9,2025-11-06 21:57:37.430
334,2024-04-08,787,DFW   ,I ,FULLY SPOILED,21.75,21.75,3,2,21,615,1,2,0,0,25,DFW-FCO-DFW,Starts14:50,240-239,14,2025-11-06 21:57:37.430
19430,2024-06-16,737,DFW   ,I ,NOT SPOILED,15.54,,3,3,15,64,4,8,0,0,18,DFW-ELP-DFW-MSP-CLT-CHS-CLT-ORF-DFW,Starts15:36,1681-1681-2806-2146-998-998-598-1914,15,2025-11-06 21:57:37.430
8567,2025-04-21,320,MIA   ,I ,NOT SPOILED,,,1,1,5,155,2,2,0,0,1,MIA-PUJ-MIA,Starts10:29,2419-2634,10,2025-11-06 21:57:37.430
9631,2024-10-08,320,PHL   ,I ,NOT SPOILED,,,1,1,7,225,2,2,0,0,1,PHL-CUN-PHL,Starts8:25,1262-2175,8,2025-11-06 21:57:37.430
8208,2024-03-22,320,PHL   ,I ,NOT SPOILED,7.9,,1,1,7,236,2,2,0,0,1,PHL-PUJ-PHL,Starts8:32,452-452,8,2025-11-06 21:57:37.430
5060,2024-04-22,320,CLT   ,I ,NOT SPOILED,10.49,,2,2,10,90,3,6,0,0,13,CLT-ECP-CLT-BDL-CLT-MCO-CLT,Starts10:12,2983-2983-2228-1975-1360-1360,10,2025-11-06 21:57:37.430
5779,2025-02-03,320,DFW   ,I ,NOT SPOILED,,,1,1,5,141,2,2,0,0,1,DFW-PHX-DFW,Starts16:35,1155-556,16,2025-11-06 21:57:37.430
544,2024-11-23,787,DFW   ,I ,NOT SPOILED,,,3,2,19,545,1,2,0,0,24,DFW-LHR-DFW,Starts21:0,78-21,21,2025-11-06 21:57:37.430
18617,2025-04-12,737,DFW   ,I ,NOT SPOILED,,,2,2,10,130,3,4,0,0,18,DFW-BZE-MIA-RIC-DFW,Starts12:20,2451-534-983-2067,12,2025-11-06 21:57:37.430
20371,2024-08-11,737,MIA   ,I ,FULLY SPOILED,5.75,5.75,1,1,5,170,2,2,0,0,1,MIA-STT-MIA,Starts13:10,1391-1391,13,2025-11-06 21:57:37.430
7511,2024-09-25,320,DFW   ,I ,NOT SPOILED,17.84,,3,3,17,69,3,7,0,0,16,DFW-TUS-DFW-SAT-PHL-MCI-CLT-DFW,Starts10:17,2721-2721-2438-2848-2468-1619-1089,10,2025-11-06 21:57:37.430
256,2024-10-27,777,DFW   ,I ,NOT SPOILED,,,3,2,25,695,1,2,0,0,25,DFW-NRT-DFW,Starts11:40,61-60,11,2025-11-06 21:57:37.430
4565,2024-07-14,320,CLT   ,I ,FULLY SPOILED,10.56,10.57,2,2,10,51,3,6,1,0,13,CLT-MCO-CLT-OKC-CLT-GSO-CLT,Starts14:45,2126-1814-768-1917-1735-1735,14,2025-11-06 21:57:37.430
850,2024-08-04,777,MIA   ,I ,NOT SPOILED,18.33,,3,2,18,530,1,2,0,0,26,MIA-LHR-MIA,Starts19:35,38-39,19,2025-11-06 21:57:37.430
6610,2024-03-27,320,LAX   ,I ,NOT SPOILED,11.91,,3,2,11,332,1,2,0,0,28,LAX-LIH-LAX,Starts12:40,265-266,12,2025-11-06 21:57:37.430
320,2025-03-07,777,DFW   ,I ,NOT SPOILED,,,3,2,19,540,1,2,0,0,25,DFW-LHR-DFW,Starts15:20,20-51,15,2025-11-06 21:57:37.430
19721,2025-06-27,737,DFW   ,I ,PARTIALLY SPOILED,,4.73,2,2,10,137,3,4,0,1,12,DFW-CVG-DFW-PVR-DFW,Starts18:30,799-2610-1467-1467,18,2025-11-06 21:57:37.430
520,2024-10-28,787,DFW   ,I ,NOT SPOILED,,,4,2,20,615,1,2,0,0,36,DFW-GIG-DFW,Starts20:5,937-936,20,2025-11-06 21:57:37.430
20248,2024-06-22,737,MIA   ,I ,NOT SPOILED,12.78,,2,2,12,75,3,6,0,0,14,MIA-RTB-MIA-MCO-MIA-SJU-MIA,Starts12:5,347-898-2803-1780-2436-2436,12,2025-11-06 21:57:37.430
5239,2024-09-28,320,CLT   ,I ,NOT SPOILED,10.25,,2,2,10,62,3,6,0,0,19,CLT-BDA-CLT-SAV-CLT-TYS-CLT,Starts11:5,2044-3016-482-3095-3119-3119,11,2025-11-06 21:57:37.430
5893,2024-10-27,320,DFW   ,I ,NOT SPOILED,,,1,1,5,165,2,2,0,0,1,DFW-CUN-DFW,Starts8:9,1190-1068,8,2025-11-06 21:57:37.430
19847,2025-07-28,737,DFW   ,I ,NOT SPOILED,,,3,3,17,130,3,7,0,0,22,DFW-BJX-DFW-MSP-PHX-SJD-PHX-DFW,Starts8:10,877-877-2104-3143-2623-2623-1931,8,2025-11-06 21:57:37.430
28303,2024-06-07,737,ORD   ,D ,FULLY SPOILED,10.98,10.98,2,2,10,77,3,5,0,0,16,ORD-IAH-ORD-STL-CLT-ORD,Starts13:12,1168-1168-2441-831-1048,13,2025-11-06 21:57:37.430
9495,2025-01-21,320,PHL   ,I ,FULLY SPOILED,,10.65,2,2,10,118,2,4,0,0,17,PHL-CLT-DEN-ORD-PHL,Starts8:32,2498-1636-2771-2840,8,2025-11-06 21:57:37.430
10364,2025-05-26,320,PHL   ,I ,FULLY SPOILED,,15.58,3,3,15,111,3,6,0,0,16,PHL-BNA-ORD-MCO-DFW-DEN-PHL,Starts8:15,3202-1734-1247-2961-420-516,8,2025-11-06 21:57:37.430
21194,2024-03-25,737,MIA   ,I ,FULLY SPOILED,5.5,5.5,1,1,5,151,2,2,0,0,0,MIA-DCA-MIA,Starts6:30,491-491,6,2025-11-06 21:57:37.430
195,2025-04-22,777,DFW   ,I ,FULLY SPOILED,,19.5,3,2,19,555,1,2,0,0,24,DFW-LHR-DFW,Starts15:10,50-51,15,2025-11-06 21:57:37.430
8768,2024-04-22,320,PHL   ,I ,NOT SPOILED,9.76,,2,2,9,96,4,5,0,0,19,PHL-SRQ-CLT-VPS-CLT-PHL,Starts8:33,2984-1477-2561-2561-2236,8,2025-11-06 21:57:37.430
836,2025-04-11,787,MIA   ,I ,NOT SPOILED,,,3,2,18,525,1,2,0,0,28,MIA-BCN-MIA,Starts16:50,112-113,16,2025-11-06 21:57:37.430
7763,2025-07-12,320,LAX   ,I ,NOT SPOILED,,,2,2,11,336,1,2,0,0,24,LAX-LIH-LAX,Starts8:45,119-266,8,2025-11-06 21:57:37.430
17443,2024-09-09,320,LGA   ,D ,NOT SPOILED,16.35,,3,3,16,81,4,8,0,0,16,LGA-CLT-MCI-PHL-STL-DCA-PVD-DCA-LGA,Starts8:30,1023-1619-2467-404-707-2912-2912-1239,8,2025-11-06 21:57:37.430
19725,2025-03-26,737,DFW   ,I ,FULLY SPOILED,,15.58,3,3,15,63,3,8,0,0,14,DFW-DEN-DFW-AUS-CUN-AUS-DFW-ABQ-DFW,Starts7:5,1244-1244-846-2179-2588-2563-1209-1209,7,2025-11-06 21:57:37.430
3721,2025-07-07,320,CLT   ,I ,FULLY SPOILED,,13.7,3,3,13,73,3,5,0,1,23,CLT-TPA-PHX-SAN-ORD-CLT,Starts15:30,2525-1402-559-2065-689,15,2025-11-06 21:57:37.430
18485,2024-08-28,737,CLT   ,I ,NOT SPOILED,11.2,,2,2,11,102,3,6,0,0,12,CLT-EWR-CLT-MEM-CLT-STL-CLT,Starts9:8,1697-1697-1531-538-831-831,9,2025-11-06 21:57:37.430
20318,2024-04-10,737,DFW   ,I ,PARTIALLY SPOILED,16.94,7.67,3,3,16,99,3,7,0,0,16,DFW-MEX-DFW-OMA-ORD-MSY-ORD-DFW,Starts8:35,389-389-2466-1754-2161-362-761,8,2025-11-06 21:57:37.430
18641,2025-04-16,737,DFW   ,I ,NOT SPOILED,,,1,1,6,179,2,2,0,0,0,DFW-SNA-DFW,Starts14:40,2659-2659,14,2025-11-06 21:57:37.430
6930,2024-12-18,320,DFW   ,I ,PARTIALLY SPOILED,,3.38,3,3,17,94,3,8,0,0,19,DFW-CUN-DFW-MEM-DFW-DGO-DFW-PNS-DFW,Starts10:25,2874-2219-1758-2982-1501-1850-1474-1474,10,2025-11-06 21:57:37.430
20256,2024-09-27,737,MIA   ,I ,NOT SPOILED,10.84,,2,2,10,145,3,4,0,0,16,MIA-STT-MIA-SDQ-MIA,Starts10:1,2490-2490-368-987,10,2025-11-06 21:57:37.430
25812,2024-07-27,737,DCA   ,D ,FULLY SPOILED,5.39,5.38,1,1,5,160,2,2,0,0,2,DCA-MIA-DCA,Starts7:25,458-1606,7,2025-11-06 21:57:37.430
21589,2024-04-24,737,MIA   ,I ,NOT SPOILED,10.78,,2,2,10,150,3,4,0,0,12,MIA-DCA-MIA-SJU-MIA,Starts18:10,2648-1252-2436-2436,18,2025-11-06 21:57:37.430
7707,2024-07-28,320,DFW   ,I ,FULLY SPOILED,10.43,10.43,2,2,10,66,3,6,0,0,14,DFW-TVC-DFW-SAT-DFW-IAH-DFW,Starts12:37,2446-2446-426-1967-1635-232,12,2025-11-06 21:57:37.430
1833,2024-03-09,787,PHL   ,I ,NOT SPOILED,17.84,,3,2,17,490,1,2,0,0,27,PHL-FCO-PHL,Starts18:50,718-719,18,2025-11-06 21:57:37.430
20494,2025-04-29,737,MIA   ,I ,NOT SPOILED,,,2,2,10,70,3,6,0,0,13,MIA-HAV-MIA-DCA-MIA-HOG-MIA,Starts8:19,242-243-1233-2303-1491-2726,8,2025-11-06 21:57:37.430
4392,2024-03-10,320,CLT   ,I ,NOT SPOILED,11.25,,2,2,11,102,3,6,0,0,11,CLT-SYR-CLT-BUF-CLT-MCO-CLT,Starts9:15,2730-2730-1486-1204-2127-2127,9,2025-11-06 21:57:37.430
189,2024-04-27,777,DFW   ,I ,NOT SPOILED,25.0,,3,2,25,705,1,2,0,0,26,DFW-NRT-DFW,Starts11:45,61-60,11,2025-11-06 21:57:37.430
940,2024-04-10,787,MIA   ,I ,NOT SPOILED,18.75,,3,2,18,525,1,2,0,0,29,MIA-BCN-MIA,Starts16:40,112-113,16,2025-11-06 21:57:37.430
213,2025-07-07,777,DFW   ,I ,FULLY SPOILED,,27.75,3,2,27,795,1,2,0,0,24,DFW-ICN-DFW,Starts11:0,281-280,11,2025-11-06 21:57:37.430
6200,2025-05-03,320,DFW   ,I ,FULLY SPOILED,,17.63,3,3,17,69,3,8,0,0,20,DFW-GDL-DFW-XNA-CLT-DSM-DFW-CID-DFW,Starts8:13,1830-1830-3059-2570-3020-1286-2061-2061,8,2025-11-06 21:57:37.430
967,2024-03-15,777,LGA   ,I ,NOT SPOILED,6.33,,1,1,6,180,2,2,0,0,1,JFK-MIA-JFK,Starts9:2,843-54,9,2025-11-06 21:57:37.430
20852,2025-04-03,737,MIA   ,I ,NOT SPOILED,,,3,3,15,160,2,5,0,0,17,MIA-JFK-AUS-MIA-GUA-MIA,Starts7:5,525-1528-406-1603-850,7,2025-11-06 21:57:37.430
723,2024-03-18,777,LAX   ,I ,NOT SPOILED,29.66,,4,2,29,845,1,2,0,0,25,LAX-SYD-LAX,Starts23:25,73-72,23,2025-11-06 21:57:37.430
737,2024-12-13,787,LAX   ,I ,NOT SPOILED,,,3,2,22,595,1,2,0,0,28,LAX-HND-LAX,Starts9:45,27-26,9,2025-11-06 21:57:37.430
6061,2024-06-06,320,DFW   ,I ,NOT SPOILED,11.13,,2,2,11,164,3,4,0,0,12,DFW-SLC-DFW-SJD-DFW,Starts17:55,2375-2066-2213-2213,17,2025-11-06 21:57:37.430
20450,2024-11-18,737,MIA   ,I ,NOT SPOILED,,,1,1,6,190,2,2,0,0,1,MIA-CUR-MIA,Starts12:5,2739-1800,12,2025-11-06 21:57:37.430
20701,2024-04-19,737,DFW   ,I ,PARTIALLY SPOILED,17.26,7.35,3,3,17,65,3,7,0,0,17,DFW-PVR-DFW-AUS-DFW-DEN-PHL-DFW,Starts8:30,353-353-843-1595-2579-2672-606,8,2025-11-06 21:57:37.430
233,2024-12-29,777,DFW   ,I ,NOT SPOILED,,,3,2,19,545,1,2,0,0,25,DFW-LHR-DFW,Starts15:15,20-51,15,2025-11-06 21:57:37.430
21447,2024-07-30,737,MIA   ,I ,NOT SPOILED,10.06,,2,2,10,115,3,4,0,0,12,MIA-CUN-MIA-LGA-MIA,Starts8:38,2494-1469-2047-391,8,2025-11-06 21:57:37.430
7183,2025-04-18,320,DFW   ,I ,NOT SPOILED,,,1,1,7,200,2,2,0,0,1,DFW-NAS-DFW,Starts10:30,1005-1005,10,2025-11-06 21:57:37.430
118,2025-04-16,777,CLT   ,I ,NOT SPOILED,,,3,2,19,550,1,2,0,0,25,CLT-FCO-CLT,Starts18:40,720-721,18,2025-11-06 21:57:37.430
116,2025-07-15,777,CLT   ,I ,NOT SPOILED,,,3,2,16,480,1,2,0,0,24,CLT-LHR-CLT,Starts18:40,730-731,18,2025-11-06 21:57:37.430
5963,2024-11-12,320,DFW   ,I ,NOT SPOILED,,,1,1,7,209,2,2,0,0,0,DFW-SFO-DFW,Starts13:13,2177-1264,13,2025-11-06 21:57:37.430
16938,2024-04-07,320,DFW   ,D ,NOT SPOILED,16.24,,3,3,16,103,3,6,0,0,15,DFW-MCO-CLT-MCO-DFW-SMF-DFW,Starts7:25,1709-1757-1682-599-2078-1544,7,2025-11-06 21:57:37.430
9350,2024-05-06,320,PHX   ,I ,NOT SPOILED,10.84,,2,2,10,81,3,6,0,0,14,PHX-SJC-PHX-SNA-PHX-SJD-PHX,Starts7:15,786-786-2094-486-2128-2128,7,2025-11-06 21:57:37.430
9933,2024-07-12,320,PHL   ,I ,NOT SPOILED,5.5,,1,1,5,162,2,2,0,0,0,PHL-RSW-PHL,Starts8:25,2365-2365,8,2025-11-06 21:57:37.430
10173,2025-04-10,320,PHL   ,I ,PARTIALLY SPOILED,,4.28,3,3,17,75,3,8,0,0,16,PHL-FLL-PHL-ORD-DCA-PVD-PHL-JAX-PHL,Starts8:40,1333-1333-3063-2345-1972-1573-1990-1990,8,2025-11-06 21:57:37.430
3615,2024-11-02,320,CLT   ,I ,NOT SPOILED,,,1,1,7,210,2,2,0,0,1,CLT-PUJ-CLT,Starts7:19,960-960,7,2025-11-06 21:57:37.430
18644,2025-06-28,737,DFW   ,I ,NOT SPOILED,,,1,1,6,175,2,2,0,0,0,DFW-ORF-DFW,Starts14:45,2288-2288,14,2025-11-06 21:57:37.430
20283,2024-09-08,737,MIA   ,I ,NOT SPOILED,6.17,,1,1,6,180,2,2,0,0,1,MIA-SJO-MIA,Starts10:26,413-1600,10,2025-11-06 21:57:37.430
8622,2025-06-06,320,MIA   ,I ,NOT SPOILED,,,3,3,16,75,3,7,0,0,13,MIA-HAV-MIA-BDA-PHL-MCO-DFW-MIA,Starts12:20,837-838-308-1117-1673-2172-1306,12,2025-11-06 21:57:37.430
1062,2024-07-03,787,PHL   ,I ,NOT SPOILED,16.08,,3,2,16,455,1,2,0,0,25,PHL-CPH-PHL,Starts21:35,744-745,21,2025-11-06 21:57:37.430
21916,2024-05-08,737,MIA   ,I ,NOT SPOILED,11.93,,2,2,11,70,3,6,0,0,15,MIA-HAV-MIA-GUA-MIA-PLS-MIA,Starts7:5,17-2678-2395-476-1527-1527,7,2025-11-06 21:57:37.430
17572,2025-05-15,320,LGA   ,D ,PARTIALLY SPOILED,,2.08,3,3,12,62,2,6,0,0,17,LGA-CLT-ILM-MIA-IAH-ORD-LGA,Starts7:59,1023-3307-129-1465-3106-2865,7,2025-11-06 21:57:37.430
18616,2024-10-08,737,DFW   ,I ,NOT SPOILED,,,2,2,10,67,3,4,0,0,18,DFW-LGA-MIA-TPA-DFW,Starts13:12,910-1698-2482-2322,13,2025-11-06 21:57:37.430
349,2024-08-05,787,DFW   ,I ,NOT SPOILED,27.83,,3,2,27,785,1,2,0,0,25,DFW-ICN-DFW,Starts10:30,281-280,10,2025-11-06 21:57:37.430
7177,2024-04-13,320,MIA   ,I ,NOT SPOILED,10.81,,2,2,10,66,3,6,0,0,15,MIA-RTB-MIA-TPA-MIA-MSY-MIA,Starts12:10,347-347-1921-2503-2286-2286,12,2025-11-06 21:57:37.430
20850,2024-09-10,737,MIA   ,I ,NOT SPOILED,13.5,,2,2,13,64,3,6,0,0,12,MIA-SDQ-MIA-TPA-MIA-CUR-MIA,Starts8:39,2099-2099-2506-1306-1931-708,8,2025-11-06 21:57:37.430
357,2024-08-05,787,DFW   ,I ,NOT SPOILED,25.0,,3,2,25,720,1,2,0,0,26,DFW-NRT-DFW,Starts12:0,61-60,12,2025-11-06 21:57:37.430
17968,2024-07-28,737,CLT   ,I ,FULLY SPOILED,8.33,8.33,1,1,8,245,2,2,0,0,1,CLT-MEX-CLT,Starts9:35,829-828,9,2025-11-06 21:57:37.430
28375,2024-06-10,737,ORD   ,D ,NOT SPOILED,5.74,,1,1,5,160,2,2,0,0,1,ORD-MCO-ORD,Starts13:40,1782-1782,13,2025-11-06 21:57:37.430
9168,2025-03-19,320,MIA   ,I ,NOT SPOILED,,,2,2,10,75,3,5,0,0,16,MIA-NAS-MIA-ATL-DFW-MIA,Starts12:41,2245-2245-1045-3104-695,12,2025-11-06 21:57:37.430
20352,2024-07-25,737,MIA   ,I ,NOT SPOILED,10.48,,2,2,10,58,3,5,0,0,11,MIA-CLT-MYR-CLT-PUJ-MIA,Starts17:20,1031-1085-2529-2400-2401,17,2025-11-06 21:57:37.430
5730,2024-11-21,320,DCA   ,I ,NOT SPOILED,,,2,2,10,89,4,6,0,0,17,DCA-CLT-SRQ-CLT-AVP-CLT-DCA,Starts11:36,620-2439-2439-1206-867-545,11,2025-11-06 21:57:37.430
